geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8189867194, 2.34433502149;198;14;14/101;2;BOULEVARD JOURDAN;600573.551621;124277.379469;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8195836923, 2.36398233556;193;13;13/145;117;BOULEVARD MASSENA;602016.28177;124344.102031;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8312560816, 2.31610939765;226;14;14/148;189;RUE D ALESIA;598501.248;125641.914;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8331257229, 2.29949868476;257;15;15/144;face 41;RUE DES MORILLONS;597281.88373;125850.283561;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8556437616, 2.38355339048;129;11;11/109;164;BOULEVARD VOLTAIRE;603450.942955;128354.720394;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8239434465, 2.35812679931;195;13;13/161;87;AVENUE D ITALIE;601586.163717;124828.769944;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8818143971, 2.35323834994;114;10;10/126;3;RUE AMBROISE PARE;601225.842149;131263.970735;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8256858886, 2.31505362284;204;14;14/107;103;BOULEVARD BRUNE;598423.55849;125022.525696;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8362409445, 2.28169181419;262;15;15/159;364;RUE LECOURBE;595974.906002;126197.500447;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8776056478, 2.32703687989;81;09;9/103;21;RUE D AMSTERDAM;599304.165055;130795.86081;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8625217068, 2.30105587551;63;07;7/103;;QUAI BRANLY;597397.758037;129119.083032;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8588174968, 2.3893212175;132;11;11/112;face au 7;BOULEVARD DE MENILMONTANT;603873.932955;128707.922736;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8623006181, 2.37905139141;134;11;11/118;face 28;RUE DU GENERAL GUILHEM;603120.18;129094.77100000001;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8539831723, 2.36970018791;123;11;11/102;face 4;BOULEVARD RICHARD LENOIR;602434.49497;128169.519839;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8773676992, 2.37097100542;102;10;10/112;118;BOULEVARD DE LA VILLETTE;602526.577402;130769.937657;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8694709544, 2.31276020043;76;08;8/111;opposé au 44;AVENUE GABRIEL;598256.734261;129891.507457;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8745920335, 2.36273382814;113;10;10/124;105;QUAI DE VALMY;601922.514362;130461.037966;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8495778168, 2.39630211203;131;11;11/111;2;AVENUE DE BOUVINES;604386.956103;127680.846866;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8579704354, 2.34653567272;5;01;1/114;17;AVENUE VICTORIA;600734.603188;128612.417751;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8455922991, 2.384916432;163;12;12/136;18;RUE ERARD;603551.671121;127237.05387;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8770143095, 2.36399050058;108;10;10/119;;RUE ROBERT BLACHE;602014.595713;130730.429604;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8811175902, 2.28297085554;287;17;17/109;7;AVENUE DE LA PORTE DES TERNES;596072.372009;131187.744282;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8769298905, 2.28595031112;286;17;17/107;64;AVENUE DE LA GRANDE ARMEE;596290.572737;130721.918004;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8547611226, 2.39595517104;377;20;20/109;118;BOULEVARD DE CHARONNE;604361.044432;128257.213995;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8712998867, 2.34365407443;21;02;2/116;27;BOULEVARD POISSONNIERE;600523.034798;130094.637965;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8348792304, 2.32414276007;218;14;14/130;131;AVENUE DU MAINE;599091.082201;126044.6831;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8950895579, 2.35883888856;320;18;18/125;57;RUE DE LA CHAPELLE;601636.158088;132740.284398;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8268991047, 2.35132877867;179;13;13/113;4;RUE MARTIN BERNARD;601086.954392;125157.320528;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8572621108, 2.29110456267;256;15;15/143;73;QUAI BRANLY;596667.290874;128534.606247;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.851292682, 2.27548876659;269;16;16/106;22;RUE GROS;595520.923738;127871.61521;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8474515056, 2.37177589009;165;12;12/147;8;RUE DE LYON;602587.147;127443.263;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8399779407, 2.32141091703;233;15;15/105;4;RUE DU COMMANDANT RENE MOUCHOTTE;598890.657062;126611.699922;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
